price_aprox_usd,surface_covered_in_m2,lat,lon,borough
289775.66,54.0,23.634501,-102.552788,Miguel Hidalgo
48822.82,100.0,19.279771,-99.234597,Tlalpan
232663.51,87.0,19.432657,-99.177444,Miguel Hidalgo
166001.78,100.0,19.367025,-99.170349,Benito Juárez
94022.66,57.0,23.634501,-102.552788,Benito Juárez
172446.86,83.0,19.3794059,-99.1591446,Benito Juárez
66384.96,103.0,19.36269,-99.150565,Benito Juárez
70880.12,56.0,19.4024128,-99.0953907,Iztacalco
68228.99,80.0,19.35782,-99.149406,Benito Juárez
24235.78,60.0,19.504985,-99.208557,Azcapotzalco
258163.77,120.0,19.376792,-99.153132,Benito Juárez
94140.2,50.0,19.354219,-99.126244,Coyoacán
142200.81,90.0,19.367728,-99.156645,Benito Juárez
76395.4,90.0,19.400785,-99.147419,Benito Juárez
93311.24,114.0,19.39177,-99.159996,Benito Juárez
40103.52,65.0,19.366632,-99.1979,Álvaro Obregón
68070.93,80.0,19.400731,-99.125466,Iztacalco
196784.01,83.0,,,Cuajimalpa de Morelos
39409.48,61.0,19.337163,-99.080899,Iztapalapa
44794.13,55.0,19.435666,-99.14973,Cuauhtémoc
246572.74,120.0,19.393401,-99.165187,Benito Juárez
112046.55,112.0,19.431629,-99.162762,Cuauhtémoc
53399.87,60.0,19.2990233,-99.0436467,Tláhuac
35847.88,65.0,19.453854,-99.193979,Miguel Hidalgo
29962.59,60.0,19.458968,-99.152898,Azcapotzalco
168596.74,90.0,19.394073,-99.153915,Benito Juárez
35984.86,65.0,19.332034,-99.062028,Iztapalapa
16967.15,50.0,19.305214,-99.046887,Tláhuac
105794.45,63.0,19.366081,-99.139389,Benito Juárez
37196.65,64.0,19.370272,-99.149127,Benito Juárez
79820.02,70.0,19.386715,-99.143999,Benito Juárez
29969.69,70.0,19.458968,-99.152898,Azcapotzalco
68228.99,70.0,19.445471,-99.17317,Miguel Hidalgo
52440.59,70.0,19.443903,-99.171681,Miguel Hidalgo
58990.79,100.0,19.314831,-99.140445,Coyoacán
62644.22,86.0,19.317741,-99.119331,Coyoacán
107347.81,80.0,19.305984,-99.127341,Coyoacán
76940.5,60.0,19.365843,-99.149901,Benito Juárez
79029.72,80.0,19.365843,-99.149901,Benito Juárez
68597.8,90.0,19.399841,-99.154813,Benito Juárez
155425.12,73.0,19.394073,-99.153915,Benito Juárez
55847.67,70.0,19.465454,-99.162665,Azcapotzalco
156444.61,52.0,19.405298,-99.164986,Cuauhtémoc
158059.45,90.0,23.634501,-102.552788,Benito Juárez
61864.46,69.0,19.334546,-99.207876,Álvaro Obregón
158096.93,56.0,,,Benito Juárez
131905.54,69.0,19.403312,-99.151204,Benito Juárez
37039.91,70.0,19.376392,-99.192439,Álvaro Obregón
41358.15,80.0,19.416439,-99.125632,Venustiano Carranza
91147.61,70.0,19.401456,-99.146787,Benito Juárez
47376.38,54.0,19.4045899,-99.0601489,Iztacalco
258224.99,84.0,19.4169673,-99.1658498,Cuauhtémoc
197574.31,97.0,19.400249,-99.177444,Miguel Hidalgo
99530.03,62.0,19.4553585442,-99.1632923484,Cuauhtémoc
79556.59,90.0,19.440749,-99.141649,Cuauhtémoc
77141.75,90.0,19.484532,-99.207027,Azcapotzalco
168596.74,97.0,19.379376,-99.165182,Benito Juárez
52686.48,98.0,19.389044,-99.179657,Benito Juárez
123813.23,110.0,19.478473,-99.120734,Gustavo A. Madero
129655.0,98.0,19.469769,-99.157379,Azcapotzalco
66455.88,85.0,19.452143,-99.181477,Miguel Hidalgo
147557.13,65.0,19.3499358,-99.2906864,Cuajimalpa de Morelos
154724.19,74.0,19.3807458,-99.1553016,Benito Juárez
94858.16,64.0,19.386551,-99.193708,Álvaro Obregón
76395.4,64.0,19.466822,-99.157379,Azcapotzalco
108475.57,63.0,19.370501,-99.139389,Benito Juárez
31822.63,75.0,19.462425,-99.17654,Azcapotzalco
106918.42,105.0,19.408904,-99.174556,Cuauhtémoc
71126.75,75.0,19.474885,-99.188231,Azcapotzalco
30716.22,56.0,19.36994,-99.007399,Iztapalapa
225450.73,93.0,19.358585,-99.185753,Álvaro Obregón
54899.31,70.0,19.379525,-99.188914,Benito Juárez
68070.93,80.0,19.400731,-99.125466,Iztacalco
213430.86,110.0,19.4124708,-99.1717827,Cuauhtémoc
175231.55,80.0,19.428324,-99.176337,Miguel Hidalgo
45837.24,70.0,19.480501,-99.178139,Azcapotzalco
135225.12,64.0,,,Tlalpan
62170.05,81.0,23.634501,-102.552788,Cuauhtémoc
55847.67,60.0,,,Azcapotzalco
98523.72,78.0,19.402752,-99.098587,Iztacalco
75375.18,90.0,19.465454,-99.162665,Azcapotzalco
223970.65,108.0,19.3853063,-99.1521292,Benito Juárez
106918.42,105.0,19.408904,-99.174556,Cuauhtémoc
55268.12,95.0,19.290953,-99.124863,Tlalpan
65858.1,60.0,,,Álvaro Obregón
245682.63,100.0,,,Álvaro Obregón
31875.32,70.0,19.405883,-99.183079,Miguel Hidalgo
42823.57,70.0,19.471896,-99.224024,Azcapotzalco
52698.97,63.0,19.309208,-99.171906,Coyoacán
47681.26,60.0,19.304501,-99.123121,Coyoacán
157690.64,75.0,19.39365,-99.14769,Benito Juárez
241936.33,64.0,19.409369,-99.171906,Cuauhtémoc
66384.96,75.0,19.36269,-99.150565,Benito Juárez
89514.33,51.0,19.400097,-99.122093,Iztacalco
165962.42,97.0,19.367025,-99.170349,Benito Juárez
76614.89,75.0,19.484532,-99.207027,Azcapotzalco
69546.15,65.0,19.278198,-99.200831,Tlalpan
38039.64,74.0,19.383251,-99.105499,Iztacalco
52067.41,75.0,19.461871,-99.129227,Cuauhtémoc
74498.68,60.0,19.422398,-99.167129,Cuauhtémoc
46256.62,52.0,,,Azcapotzalco
106061.54,63.0,19.303736,-99.163605,Coyoacán
39585.14,75.0,19.453513,-99.210223,Miguel Hidalgo
180187.77,120.0,19.365766,-99.263112,Álvaro Obregón
34720.39,50.0,19.439037,-99.119514,Venustiano Carranza
39773.02,76.0,,,Coyoacán
47417.83,66.0,19.384327,-99.215523,Álvaro Obregón
34720.39,60.0,19.317698,-99.061256,Iztapalapa
143342.37,100.0,19.422201,-99.159447,Cuauhtémoc
68508.67,90.0,19.503195,-99.206723,Azcapotzalco
225498.15,74.0,19.405298,-99.164986,Cuauhtémoc
168636.73,95.0,19.3687777,-99.1897886,Benito Juárez
34246.21,59.0,19.524143,-99.160149,Gustavo A. Madero
31717.26,65.0,19.325608,-99.06112,Iztapalapa
158059.45,100.0,19.3677299,-99.1527773,Benito Juárez
85668.22,70.0,19.332149,-99.244008,Álvaro Obregón
89567.02,64.0,19.410307,-99.065399,Iztacalco
255529.44,112.0,19.403489,-99.156312,Benito Juárez
54899.31,60.0,19.379109,-99.187689,Benito Juárez
51632.75,85.0,19.452419,-99.175058,Miguel Hidalgo
68492.42,50.0,19.287188,-99.170525,Tlalpan
44203.95,60.0,19.475187,-99.175019,Azcapotzalco
120652.04,120.0,19.367931,-99.170262,Benito Juárez
142253.5,81.0,19.367424,-99.185753,Benito Juárez
60589.45,101.0,19.314895,-99.09423,Iztapalapa
46469.47,76.0,19.273716,-99.186416,Tlalpan
139968.48,64.0,19.365391,-99.18956,Benito Juárez
86827.32,75.0,19.396862,-99.172659,Benito Juárez
168596.74,100.0,23.634501,-102.552788,Benito Juárez
184446.42,106.0,19.3714480121,-99.149787426,Benito Juárez
54688.57,69.0,19.422243,-99.127305,Iztacalco
75375.18,85.0,19.469418,-99.164299,Azcapotzalco
94673.92,116.0,19.387782,-99.186194,Benito Juárez
310923.97,60.0,19.411472,-99.188522,Miguel Hidalgo
60603.82,53.0,19.262049,-99.1138,Xochimilco
60030.97,70.0,19.402944,-99.199727,Miguel Hidalgo
54372.45,75.0,19.379525,-99.188914,Benito Juárez
62433.48,70.0,19.346767,-99.123658,Coyoacán
68546.74,55.0,19.384808,-99.137496,Benito Juárez
139619.18,75.0,19.45337,-99.181695,Miguel Hidalgo
168849.64,63.0,19.397397,-99.155802,Benito Juárez
117735.94,62.0,19.4306069,-99.0949899,Venustiano Carranza
167421.83,97.0,19.341894,-99.224525,Álvaro Obregón
76922.26,80.0,23.634501,-102.552788,Benito Juárez
38303.07,50.0,19.283388,-99.055038,Tláhuac
168596.74,100.0,19.431629,-99.162762,Cuauhtémoc
175231.5,115.0,19.428324,-99.176337,Miguel Hidalgo
194986.21,60.0,19.4445115,-99.1895493,Miguel Hidalgo
313484.57,94.0,19.429392,-99.181017,Miguel Hidalgo
54688.57,70.0,19.456145,-99.201167,Miguel Hidalgo
94858.16,110.0,19.400785,-99.147419,Benito Juárez
233851.71,125.0,19.394358,-99.177444,Benito Juárez
167421.83,97.0,19.341894,-99.224525,Álvaro Obregón
75815.85,90.0,19.334546,-99.207876,Álvaro Obregón
37201.39,85.0,19.370272,-99.149127,Benito Juárez
168596.74,126.0,19.437841,-99.220367,Miguel Hidalgo
27198.6,70.0,19.307417,-99.125191,Coyoacán
90058.74,75.0,19.384808,-99.155339,Benito Juárez
225498.15,75.0,19.409095,-99.163216,Cuauhtémoc
68861.23,51.0,19.473415,-99.143539,Gustavo A. Madero
54952.0,89.0,19.44673,-99.161695,Cuauhtémoc
131747.44,100.0,19.3898619,-99.1674138,Benito Juárez
33930.09,60.0,19.302076,-99.049427,Tláhuac
93255.07,69.0,19.472155,-99.161186,Azcapotzalco
142253.5,55.0,19.372684,-99.183678,Benito Juárez
52100.61,52.0,19.456439,-99.144414,Cuauhtémoc
163328.09,90.0,19.368475,-99.17952,Benito Juárez
54829.08,66.0,19.368823,-99.224603,Álvaro Obregón
55333.92,98.0,19.3549174,-99.0993735,Iztapalapa
225504.19,65.0,19.358585,-99.185753,Álvaro Obregón
142287.24,119.0,19.3703820187,-99.1493282287,Benito Juárez
53158.13,90.0,19.395097,-99.150424,Benito Juárez
26870.1,64.0,19.320269,-99.055412,Iztapalapa
210745.93,106.0,19.367745,-99.180127,Benito Juárez
60589.45,65.0,19.468092,-99.088883,Cuauhtémoc
25306.04,60.0,,,Iztapalapa
156444.61,52.0,19.405298,-99.164986,Cuauhtémoc
36889.28,71.0,19.2818221685,-99.1876426712,Tlalpan
20582.81,70.0,19.418844,-99.132357,Cuauhtémoc
29682.82,70.0,,,Azcapotzalco
230821.52,85.0,19.3943574,-99.1774462,Benito Juárez
33297.85,70.0,19.397649,-99.093087,Iztacalco
55847.67,53.0,19.408805,-99.129702,Cuauhtémoc
94022.66,57.0,23.634501,-102.552788,Benito Juárez
163366.83,80.0,19.3499358,-99.2906864,Cuajimalpa de Morelos
46364.1,75.0,19.313878,-99.094271,Iztapalapa
263432.41,110.0,19.427922,-99.160613,Benito Juárez
51076.22,60.0,19.392025,-99.135302,Benito Juárez
90058.74,90.0,19.384808,-99.155339,Benito Juárez
46726.39,75.0,19.361114,-99.222666,Álvaro Obregón
105741.77,60.0,19.493973,-99.130394,Gustavo A. Madero
163328.09,100.0,19.394073,-99.153915,Benito Juárez
332836.85,110.0,19.371342,-99.253616,Cuajimalpa de Morelos
104319.23,65.0,19.386852,-99.194748,Álvaro Obregón
50930.23,103.0,19.38499,-99.227853,Álvaro Obregón
187081.37,100.0,19.3392293,-99.2189838,Álvaro Obregón
31927.95,70.0,19.490331,-99.207579,Azcapotzalco
32314.35,60.0,19.3821,-99.204573,Álvaro Obregón
39524.23,66.0,19.461416,-99.133163,Cuauhtémoc
28398.01,69.0,19.363469,-99.010141,Iztapalapa
104664.75,60.0,19.364005,-99.153602,Benito Juárez
163366.83,99.0,19.3747920646,-99.137270786,Benito Juárez
79575.45,75.0,19.440749,-99.141649,Cuauhtémoc
21795.44,55.0,19.45178,-99.15709,Cuauhtémoc
274496.58,85.0,19.443333,-99.202983,Miguel Hidalgo
118070.41,107.0,19.39557,-99.132937,Benito Juárez
76395.4,64.0,19.478815,-99.196831,Azcapotzalco
24459.75,85.0,19.409843,-99.125509,Venustiano Carranza
30835.54,110.0,19.282895,-99.166933,Tlalpan
192305.66,85.0,19.401331,-99.154029,Benito Juárez
97469.99,126.0,19.425758,-99.174333,Cuauhtémoc
175231.5,115.0,19.428324,-99.176337,Miguel Hidalgo
139619.18,83.0,19.365031,-99.147736,Benito Juárez
70516.85,90.0,19.273713,-99.120741,Xochimilco
107322.36,108.0,19.309713,-99.1262,Coyoacán
86862.09,80.0,19.348122,-99.125716,Coyoacán
110114.75,93.0,19.387579,-99.170353,Benito Juárez
76079.28,75.0,19.404442,-99.162688,Cuauhtémoc
161826.53,106.0,19.362511,-99.166374,Benito Juárez
81664.04,74.0,19.384506,-99.135865,Benito Juárez
255529.44,122.0,19.390912,-99.172242,Benito Juárez
31619.38,69.0,19.505199,-99.155991,Gustavo A. Madero
57968.87,73.0,19.3883217,-99.1862188,Miguel Hidalgo
220492.93,80.0,19.414597,-99.156686,Cuauhtémoc
81242.55,95.0,19.362864,-99.173988,Benito Juárez
94045.37,65.0,19.472155,-99.161186,Azcapotzalco
37934.26,56.0,19.391754,-99.056058,Iztapalapa
105741.77,60.0,19.493973,-99.130394,Gustavo A. Madero
36880.53,75.0,,,Álvaro Obregón
71126.75,70.0,19.383446,-99.137643,Benito Juárez
175231.5,100.0,19.428324,-99.176337,Miguel Hidalgo
53112.13,75.0,19.324386,-99.124228,Coyoacán
27133.53,60.0,19.452689,-99.117987,Venustiano Carranza
50327.52,72.0,19.3915,-99.038137,Iztapalapa
173839.05,122.0,19.449148,-99.175534,Miguel Hidalgo
98502.65,89.0,19.436264,-99.099608,Venustiano Carranza
18444.64,60.0,19.422676,-99.097893,Venustiano Carranza
46633.43,64.0,,,Iztacalco
32279.21,70.0,19.457685,-99.121754,Venustiano Carranza
38777.25,65.0,19.511198,-99.200576,Azcapotzalco
147522.15,85.0,,,Benito Juárez
263494.89,120.0,19.3024064,-99.2018433,Tlalpan
26027.12,60.0,19.404918,-99.1978,Miguel Hidalgo
387245.65,115.0,19.437991,-99.188609,Miguel Hidalgo
85878.96,78.0,19.396893,-99.152302,Benito Juárez
42676.05,58.0,19.443178,-99.144234,Cuauhtémoc
121354.51,75.0,19.397686,-99.161395,Benito Juárez
80139.33,50.0,19.4555330491,-99.1633956134,Cuauhtémoc
33982.78,70.0,19.448187,-99.161176,Cuauhtémoc
156706.83,70.0,19.386821,-99.164805,Benito Juárez
60076.83,67.0,19.461306,-99.127826,Cuauhtémoc
44203.95,50.0,19.419427,-99.067675,Iztacalco
166489.28,70.0,19.384365,-99.156091,Benito Juárez
51632.75,63.0,19.194247,-99.141976,Tlalpan
131418.07,94.0,19.3338880248,-99.151327014,Coyoacán
81664.04,67.0,19.474223,-99.18722,Azcapotzalco
340345.2,108.0,19.4032833,-99.1821858,Miguel Hidalgo
137017.34,78.0,19.3825040623,-99.1580399126,Benito Juárez
205526.01,122.0,19.408697,-99.181012,Cuauhtémoc
42823.57,75.0,19.489901,-99.192497,Azcapotzalco
93333.36,90.0,19.39177,-99.159996,Benito Juárez
55320.8,64.0,19.385994,-99.106613,Iztacalco
115910.26,83.0,19.368808,-99.112954,Iztacalco
79029.72,50.0,19.404661,-99.133858,Cuauhtémoc
47191.28,66.0,19.30241,-99.109299,Coyoacán
35475.54,60.0,19.455894,-99.18355,Miguel Hidalgo
209165.34,51.0,19.440935,-99.188522,Miguel Hidalgo
237089.17,120.0,19.41498,-99.177444,Cuauhtémoc
25299.31,80.0,19.383948,-99.067884,Iztapalapa
204686.98,121.0,19.368182,-99.176664,Benito Juárez
142253.5,55.0,19.372684,-99.183678,Benito Juárez
27486.01,50.0,19.422817,-99.058911,Venustiano Carranza
271035.92,106.0,19.331932,-99.246689,Álvaro Obregón
53399.87,60.0,19.2990233,-99.0436467,Tláhuac
85527.7,110.0,19.347664,-99.125001,Coyoacán
105372.96,58.0,19.492992,-99.149765,Gustavo A. Madero
150830.86,73.0,19.3596034,-99.1514055,Benito Juárez
142253.5,82.0,19.381729,-99.164986,Benito Juárez
268764.29,101.0,19.39365,-99.14769,Benito Juárez
150156.47,78.0,19.322523,-99.141464,Coyoacán
32138.75,66.0,19.446253,-99.157519,Cuauhtémoc
120652.04,120.0,19.367931,-99.170262,Benito Juárez
140525.38,61.0,19.364891,-99.148384,Benito Juárez
173865.39,100.0,19.394358,-99.177444,Benito Juárez
40568.59,53.0,19.383599,-99.190834,Benito Juárez
269180.16,117.0,19.3503274,-99.2989735,Cuajimalpa de Morelos
38039.64,74.0,19.383251,-99.105499,Iztacalco
46364.1,90.0,19.427118,-99.141954,Cuauhtémoc
140121.28,62.0,19.39912,-99.141464,Benito Juárez
60238.19,80.0,19.398983,-99.154034,Benito Juárez
123813.23,90.0,19.387131,-99.147493,Benito Juárez
90093.88,90.0,19.384371,-99.135965,Benito Juárez
84482.77,75.0,19.39557,-99.132937,Benito Juárez
68546.69,64.0,19.383446,-99.137643,Benito Juárez
131800.14,85.0,19.434723,-99.175887,Miguel Hidalgo
44203.95,70.0,19.382649,-99.143384,Benito Juárez
33218.82,54.0,19.406759,-99.125172,Venustiano Carranza
47628.58,60.0,19.49662,-99.185876,Azcapotzalco
46375.1,70.0,19.39617,-99.13791,Benito Juárez
310729.14,121.0,19.394358,-99.177444,Benito Juárez
79029.72,65.0,19.370046,-99.146155,Benito Juárez
192305.66,85.0,19.3618265,-99.1542053,Benito Juárez
51770.26,110.0,19.308573,-99.07088,Iztapalapa
46954.78,60.0,19.359901,-99.189606,Álvaro Obregón
189671.34,89.0,19.417364,-99.159454,Cuauhtémoc
79556.59,80.0,19.427754,-99.171109,Cuauhtémoc
77533.42,85.0,19.396705,-99.181902,Benito Juárez
158059.45,100.0,19.340202,-99.257774,Álvaro Obregón
94308.8,57.0,19.298168,-99.113106,Tlalpan
128536.81,62.0,19.39912,-99.141464,Benito Juárez
90093.88,70.0,19.369509,-99.172532,Benito Juárez
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
33200.35,50.0,19.4179232,-99.1483827,Cuauhtémoc
32474.95,86.0,19.307754,-99.12497,Coyoacán
190122.1,97.0,19.3813197,-99.1996895,Miguel Hidalgo
43202.91,50.0,19.410307,-99.065399,Iztacalco
64857.06,80.0,19.461871,-99.129227,Cuauhtémoc
34387.36,60.0,19.527836,-99.169827,Gustavo A. Madero
135057.59,79.0,19.3638234,-99.1444714,Benito Juárez
46943.65,80.0,19.359897,-99.18956,Álvaro Obregón
60043.36,70.0,19.445816,-99.170462,Miguel Hidalgo
226551.88,60.0,,,Miguel Hidalgo
192305.66,85.0,19.368544,-99.163605,Benito Juárez
81372.59,60.0,19.444865,-99.156877,Cuauhtémoc
163328.09,100.0,19.381729,-99.164986,Benito Juárez
96416.26,62.0,19.377369,-99.198052,Álvaro Obregón
61881.11,70.0,19.352333,-99.121169,Coyoacán
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
106690.12,60.0,19.328833,-99.133163,Coyoacán
50327.52,76.0,19.4113101,-99.064722,Iztacalco
99050.58,110.0,19.443486,-99.211871,Miguel Hidalgo
44783.51,56.0,19.392349,-99.07093,Iztacalco
34351.58,69.0,19.504602,-99.153096,Gustavo A. Madero
34421.87,55.0,19.384327,-99.215523,Álvaro Obregón
120827.65,90.0,19.40099,-99.161174,Benito Juárez
233438.0,98.0,19.407187,-99.172405,Cuauhtémoc
120652.04,90.0,19.400959,-99.162199,Benito Juárez
34720.39,50.0,19.439037,-99.119514,Venustiano Carranza
254378.56,118.0,19.381729,-99.164986,Benito Juárez
99577.45,115.0,19.378233,-99.2054,Álvaro Obregón
90884.18,70.0,19.445816,-99.170462,Miguel Hidalgo
39514.86,90.0,19.387651,-99.142257,Benito Juárez
54583.19,60.0,19.464437,-99.175369,Azcapotzalco
75815.85,70.0,19.334546,-99.207876,Álvaro Obregón
113566.29,60.0,19.3605334,-99.2267067,Álvaro Obregón
85547.99,85.0,19.347664,-99.125001,Coyoacán
237436.9,117.0,19.3978,-99.175813,Benito Juárez
18971.63,56.0,19.301945,-99.0495332,Tláhuac
79029.72,100.0,23.634501,-102.552788,Benito Juárez
32763.82,60.0,19.29312,-99.052935,Tláhuac
187037.01,120.0,19.498335,-99.131701,Gustavo A. Madero
66384.96,80.0,19.36269,-99.150565,Benito Juárez
32911.5,54.0,19.324947,-99.083468,Iztapalapa
71670.61,80.0,19.391834,-99.188695,Benito Juárez
77449.13,50.0,19.360367,-99.192614,Álvaro Obregón
315592.03,70.0,19.388433,-99.175962,Benito Juárez
94308.8,57.0,19.298168,-99.113106,Tlalpan
60589.45,52.0,19.469681,-99.086136,Gustavo A. Madero
36692.81,60.0,19.392025,-99.135302,Benito Juárez
33930.09,60.0,19.301945,-99.049533,Tláhuac
152685.43,64.0,19.379134,-99.253631,Álvaro Obregón
36459.04,70.0,19.415143,-99.14685,Cuauhtémoc
34254.33,60.0,19.524143,-99.160149,Gustavo A. Madero
71653.61,70.0,19.393257,-99.157113,Benito Juárez
149102.74,95.0,19.39945,-99.164717,Benito Juárez
90726.12,91.0,19.336195,-99.23692,Álvaro Obregón
61288.91,80.0,19.410419,-99.194748,Miguel Hidalgo
42524.31,60.0,19.479793,-99.100174,Gustavo A. Madero
52943.48,80.0,19.400785,-99.147419,Benito Juárez
131800.14,90.0,19.434723,-99.175887,Miguel Hidalgo
54758.8,66.0,19.497521,-99.203979,Azcapotzalco
39567.54,59.0,19.45789,-99.20016,Miguel Hidalgo
134756.21,73.0,19.364891,-99.148384,Benito Juárez
92201.34,90.0,19.260421,-99.120697,Xochimilco
61641.52,75.0,19.39942,-99.141673,Benito Juárez
132098.73,90.0,19.395261,-99.153153,Benito Juárez
263190.06,87.0,19.436516,-99.173988,Miguel Hidalgo
89514.33,51.0,19.400097,-99.122093,Iztacalco
58640.21,50.0,19.365843,-99.149901,Benito Juárez
180187.77,126.0,19.365686,-99.263209,Álvaro Obregón
55320.8,71.0,19.36678,-99.21145,Álvaro Obregón
39773.02,70.0,19.323772,-99.116562,Coyoacán
100894.61,80.0,19.355751,-99.299347,Cuajimalpa de Morelos
162123.24,64.0,19.3638234,-99.1444714,Benito Juárez
136457.99,100.0,19.295665,-99.132282,Tlalpan
237089.17,64.0,19.436024,-99.15461,Cuauhtémoc
60484.08,65.0,19.415461,-99.124168,Venustiano Carranza
89040.15,70.0,19.395058,-99.13078,Iztacalco
255529.44,122.0,19.390912,-99.172242,Benito Juárez
337193.49,110.0,19.355751,-99.299347,Cuajimalpa de Morelos
332662.45,120.0,19.405298,-99.164986,Cuauhtémoc
128506.33,62.0,19.39912,-99.141464,Benito Juárez
60811.74,117.0,19.441814,-99.156422,Cuauhtémoc
20547.72,65.0,19.312223,-99.105454,Coyoacán
52171.98,70.0,19.428767,-99.1459,Cuauhtémoc
67596.75,60.0,19.403309,-99.145494,Benito Juárez
28766.82,66.0,19.350145,-99.086731,Iztapalapa
184402.69,110.0,19.399118,-99.167617,Benito Juárez
270951.79,103.0,19.394358,-99.177444,Benito Juárez
61274.38,60.0,19.402944,-99.199727,Miguel Hidalgo
209692.2,108.0,19.390031,-99.174182,Benito Juárez
28837.1,60.0,19.453201,-99.132967,Cuauhtémoc
45205.0,69.0,19.417636,-99.153292,Cuauhtémoc
44045.9,70.0,19.410215,-99.14595,Cuauhtémoc
179134.04,92.0,19.405298,-99.164986,Cuauhtémoc
83191.95,90.0,19.392814,-99.175476,Benito Juárez
26595.29,60.0,19.409843,-99.125509,Venustiano Carranza
68492.42,60.0,19.362679,-99.171002,Benito Juárez
51393.55,70.0,19.48888,-99.179278,Azcapotzalco
73900.83,80.0,19.334738,-99.176758,Coyoacán
38329.41,57.0,19.369859,-99.135812,Iztapalapa
55689.61,66.0,19.410412,-99.098521,Venustiano Carranza
57955.13,60.0,19.468775,-99.115636,Gustavo A. Madero
120125.18,91.0,19.399815,-99.150806,Benito Juárez
187037.01,68.0,19.387388,-99.175554,Benito Juárez
47402.99,80.0,19.470215,-99.140075,Gustavo A. Madero
107322.36,94.0,19.305984,-99.127341,Coyoacán
173643.13,101.0,19.2753576,-99.1675547,Tlalpan
44920.86,95.0,19.38828,-99.195529,Álvaro Obregón
255529.44,122.0,19.390912,-99.172242,Benito Juárez
44497.91,74.0,19.3223015,-99.1035542,Coyoacán
35458.0,63.0,19.39106,-99.14775,Benito Juárez
35911.31,50.0,19.41275,-99.126007,Venustiano Carranza
39524.23,75.0,19.38751,-99.142247,Benito Juárez
97469.99,103.0,19.270735,-99.175292,Tlalpan
147522.15,67.0,,,Benito Juárez
115937.75,110.0,19.343979,-99.124863,Coyoacán
300911.16,124.0,19.3815906,-99.1653974,Benito Juárez
34088.15,80.0,19.361385,-99.246689,Álvaro Obregón
39887.51,80.0,19.38828,-99.195529,Álvaro Obregón
192305.66,70.0,19.3755039,-99.1630337,Benito Juárez
86584.42,70.0,19.3865508,-99.1937082,Álvaro Obregón
24235.78,58.0,19.452365,-99.124572,Venustiano Carranza
50579.02,70.0,19.392185,-99.135357,Benito Juárez
33982.78,65.0,19.323772,-99.116562,Coyoacán
129655.0,98.0,19.469769,-99.157379,Azcapotzalco
18861.76,63.0,19.441047,-99.135306,Cuauhtémoc
33719.34,70.0,,,Álvaro Obregón
50947.82,68.0,19.399461,-99.175182,Miguel Hidalgo
37934.26,60.0,19.4900536,-99.0935504,Gustavo A. Madero
40067.01,63.0,19.417363,-99.068463,Iztacalco
237089.17,101.0,19.341894,-99.224525,Álvaro Obregón
86858.35,51.0,19.386852,-99.194748,Álvaro Obregón
47139.23,75.0,19.326922,-99.121203,Coyoacán
88513.29,55.0,19.439253,-99.163605,Cuauhtémoc
44151.27,85.0,,,Coyoacán
368892.84,110.0,19.395268,-99.175265,Benito Juárez
184402.69,100.0,23.634501,-102.552788,Miguel Hidalgo
97996.85,70.0,19.384467,-99.135872,Benito Juárez
150498.94,96.0,19.373306,-99.146919,Benito Juárez
77572.89,70.0,19.309208,-99.171906,Coyoacán
54322.39,87.0,19.383446,-99.137643,Benito Juárez
61537.81,52.0,19.392349,-99.07093,Iztacalco
